subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
English Language,Basic 3,Grammar - Parts of Speech,Which word is a noun in this sentence: 'The cat sleeps'?,multiple_choice,a,'Cat' is a noun because it names an animal.,easy,10,45,cat,sleeps,the,is
English Language,Basic 3,Grammar - Parts of Speech,Identify the verb: 'Birds fly high.',multiple_choice,b,'Fly' is a verb because it shows action.,easy,10,45,birds,fly,high,the
English Language,Basic 3,Grammar - Parts of Speech,Which word is an adjective: 'The big dog runs'?,multiple_choice,c,'Big' is an adjective because it describes the noun 'dog'.,medium,10,60,dog,runs,big,the
English Language,Basic 3,Grammar - Parts of Speech,Find the adverb: 'She sings loudly.',multiple_choice,d,'Loudly' is an adverb because it describes how she sings.,medium,10,60,she,sings,loud,loudly
English Language,Basic 3,Grammar - Parts of Speech,What type of word is 'or' in: 'Do you want tea or water'?,multiple_choice,b,'Or' is a conjunction because it joins two choices.,medium,10,75,noun,conjunction,verb,adjective
English Language,Basic 3,Grammar - Parts of Speech,Which is a pronoun: 'He plays football'?,multiple_choice,a,'He' is a pronoun because it takes the place of a boy's name.,easy,10,45,he,plays,football,the
English Language,Basic 3,Grammar - Parts of Speech,Identify the preposition: 'The book is in the bag.',multiple_choice,c,'In' is a preposition showing where the book is.,medium,10,75,book,is,in,bag
English Language,Basic 3,Grammar - Parts of Speech,What is 'oh' in: 'Oh! I see you!'?,multiple_choice,d,'Oh' is an interjection expressing surprise.,hard,15,90,noun,verb,adjective,interjection
English Language,Basic 3,Grammar - Parts of Speech,Which word is an article: 'The boy runs fast'?,multiple_choice,a,'The' is a definite article used before nouns.,medium,10,60,the,boy,runs,fast
English Language,Basic 3,Grammar - Parts of Speech,Find the proper noun: 'Mary goes to school.',multiple_choice,b,'Mary' is a proper noun because it's a specific person's name.,medium,10,75,goes,Mary,school,to
English Language,Basic 3,Grammar - Tenses,Which sentence is in present tense?,multiple_choice,a,'He runs fast' is in present tense showing current action.,easy,10,60,He runs fast,He ran fast,He will run fast,He was running fast
English Language,Basic 3,Grammar - Tenses,Identify the past tense verb: 'Yesterday she played games.',multiple_choice,c,'Played' is the past tense of 'play'.,easy,10,45,yesterday,she,played,games
English Language,Basic 3,Grammar - Tenses,Which is future tense: 'Tomorrow I _____ my friend.',multiple_choice,b,'Will see' shows future tense with 'will' + base verb.,medium,10,75,see,will see,saw,am seeing
English Language,Basic 3,Grammar - Tenses,Change to past tense: 'I eat rice.',multiple_choice,d,The past tense of 'eat' is 'ate'.,medium,10,60,I eating rice,I will eat rice,I am eating rice,I ate rice
English Language,Basic 3,Grammar - Tenses,What tense is: 'We are playing games'?,multiple_choice,c,'Are playing' is present continuous tense showing ongoing action.,medium,10,75,Simple present,Simple past,Present continuous,Future tense
English Language,Basic 3,Grammar - Tenses,Choose the correct past tense: 'He _____ water yesterday.',multiple_choice,a,'Drank' is the correct past tense of 'drink'.,medium,10,60,drank,drinks,drinking,will drink
English Language,Basic 3,Grammar - Tenses,Which shows future tense?,multiple_choice,d,'Going to eat' shows future intention.,medium,10,75,I eat food,I ate food,I am eating food,I am going to eat food
