subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
ICT,Basic 6,Introduction to Computers,What is a computer?,multiple_choice,b,A computer is an electronic machine that processes information and data.,easy,10,60,A toy,An electronic machine that processes information,A book,A television
ICT,Basic 6,Introduction to Computers,What can computers help us do?,multiple_choice,d,Computers help us learn work communicate and solve problems.,medium,10,120,Only play games,Only watch movies,Only listen to music,Learn work communicate and solve problems
ICT,Basic 6,Introduction to Computers,Where can we find computers?,multiple_choice,c,Computers are found in schools offices homes hospitals and many other places.,medium,10,150,Only in schools,Only in offices,Schools offices homes hospitals and many places,Only at home
ICT,Basic 6,Introduction to Computers,What makes a computer work?,multiple_choice,a,Electricity makes computers work by powering all the electronic parts.,easy,10,60,Electricity,Water,Air,Fire
ICT,Basic 6,Introduction to Computers,Are computers intelligent by themselves?,multiple_choice,b,Computers are not intelligent by themselves; they need instructions from people.,medium,10,120,Yes they are very smart,No they need instructions from people,Sometimes,Only big computers are smart
ICT,Basic 6,Introduction to Computers,What is the difference between a computer and a calculator?,multiple_choice,c,Computers can do many different tasks while calculators mainly do math.,medium,10,150,No difference,Calculators are bigger,Computers can do many tasks; calculators mainly do math,Computers are smaller
ICT,Basic 6,Introduction to Computers,Why are computers useful?,multiple_choice,d,Computers are useful because they work fast store lots of information and help with many tasks.,medium,10,180,Only because they are expensive,Only because they look nice,Only because they make noise,They work fast store information and help with tasks
ICT,Basic 6,Introduction to Computers,Can computers think like humans?,multiple_choice,b,Computers cannot think like humans; they only follow instructions.,medium,10,120,Yes exactly like humans,No they only follow instructions,Sometimes they can,Only smart computers can
ICT,Basic 6,Introduction to Computers,What do we call the instructions we give to computers?,multiple_choice,c,Instructions given to computers are called programs or software.,hard,15,120,Commands,Orders,Programs or software,Rules
ICT,Basic 6,Introduction to Computers,How have computers changed our lives?,multiple_choice,a,Computers have made communication faster learning easier and work more efficient.,hard,15,180,Made communication faster learning easier work more efficient,Made life more difficult,Made everything slower,Only changed games
ICT,Basic 6,Parts of a Computer,What are the main parts of a computer?,multiple_choice,d,The main parts are monitor keyboard mouse and system unit.,medium,10,150,Only the screen,Only the keyboard,Only the mouse,Monitor keyboard mouse and system unit
ICT,Basic 6,Parts of a Computer,What do we use to see what the computer is doing?,multiple_choice,a,We use the monitor (screen) to see what the computer is doing.,easy,10,60,Monitor or screen,Keyboard,Mouse,Speaker
ICT,Basic 6,Parts of a Computer,What do we use to type letters and numbers?,multiple_choice,b,We use the keyboard to type letters numbers and symbols.,easy,10,60,Monitor,Keyboard,Mouse,Speaker
ICT,Basic 6,Parts of a Computer,What do we use to point and click on the screen?,multiple_choice,c,We use the mouse to point and click on things on the screen.,easy,10,60,Monitor,Keyboard,Mouse,Speaker
ICT,Basic 6,Parts of a Computer,What do we call the box that contains the computer's brain?,multiple_choice,d,The system unit (CPU box) contains the computer's brain and main parts.,medium,10,120,Monitor,Keyboard,Mouse,System unit or CPU box
ICT,Basic 6,Parts of a Computer,What do we use to hear sounds from the computer?,multiple_choice,a,We use speakers or headphones to hear sounds from the computer.,easy,10,75,Speakers or headphones,Monitor,Keyboard,Mouse
ICT,Basic 6,Parts of a Computer,What do we use to print documents on paper?,multiple_choice,b,We use a printer to print documents and pictures on paper.,easy,10,75,Scanner,Printer,Monitor,Keyboard
ICT,Basic 6,Parts of a Computer,What device helps us put pictures into the computer?,multiple_choice,c,A scanner helps us put pictures and documents into the computer.,medium,10,90,Printer,Monitor,Scanner,Speaker
