subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Social Studies,Basic 9,Geography of Ghana,What is the capital city of Ghana?,multiple_choice,b,Accra is the capital and largest city of Ghana located on the Atlantic coast.,easy,10,30,Kumasi,Accra,Tamale,Cape Coast
Social Studies,Basic 9,Geography of Ghana,Which ocean borders Ghana to the south?,multiple_choice,c,Ghana is bordered by the Atlantic Ocean to the south.,easy,10,30,Indian Ocean,Pacific Ocean,Atlantic Ocean,Arctic Ocean
Social Studies,Basic 9,Geography of Ghana,What are the main vegetation zones in Ghana?,multiple_choice,d,Ghana has three main vegetation zones: coastal savanna forest and northern savanna.,medium,10,75,Desert and forest,Mountains and valleys,Rivers and lakes,Coastal savanna forest and northern savanna
Social Studies,Basic 9,Geography of Ghana,Which river is the largest in Ghana?,multiple_choice,a,The Volta River is Ghana's largest river and forms Lake Volta when dammed.,medium,10,60,Volta River,Ankobra River,Pra River,Tano River
Social Studies,Basic 9,Geography of Ghana,What is Lake Volta known for?,multiple_choice,c,Lake Volta is one of the world's largest artificial lakes created by the Akosombo Dam.,medium,10,75,Being the deepest lake,Being a natural lake,Being one of the world's largest artificial lakes,Being the smallest lake
Social Studies,Basic 9,Geography of Ghana,Which countries border Ghana?,multiple_choice,b,Ghana is bordered by Côte d'Ivoire Burkina Faso and Togo.,medium,10,90,Nigeria Mali and Niger,Côte d'Ivoire Burkina Faso and Togo,Senegal Guinea and Liberia,Benin Niger and Chad
Social Studies,Basic 9,Geography of Ghana,What type of climate does Ghana have?,multiple_choice,a,Ghana has a tropical climate with wet and dry seasons.,medium,10,60,Tropical with wet and dry seasons,Desert climate,Mediterranean climate,Arctic climate
Social Studies,Basic 9,Geography of Ghana,Which region is known for gold mining in Ghana?,multiple_choice,d,The Ashanti Region is historically known for gold mining and the gold trade.,medium,10,75,Northern Region,Upper East Region,Volta Region,Ashanti Region
Social Studies,Basic 9,Geography of Ghana,What is the highest point in Ghana?,multiple_choice,c,Mount Afadja in the Volta Region is Ghana's highest point at 885 meters.,hard,15,90,Mount Cameroon,Mount Nimba,Mount Afadja,Mount Kwahu
Social Studies,Basic 9,Geography of Ghana,Which port city is important for Ghana's trade?,multiple_choice,b,Tema is Ghana's main port city and industrial center.,medium,10,60,Accra,Tema,Takoradi,Cape Coast
