subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
English Language,Grade 7,Literature and Poetry,What is the main purpose of using metaphors in poetry?,multiple_choice,b,Metaphors are used to create vivid imagery and help readers understand complex ideas by comparing them to familiar things.,medium,10,45,To make poems longer,To create vivid imagery and comparisons,To confuse the reader,To follow grammar rules
English Language,Grade 7,Literature and Poetry,Which of the following is an example of personification?,multiple_choice,c,Personification gives human characteristics to non-human things. 'The wind whispered' gives the wind the human ability to whisper.,medium,10,45,The cat is black,The sun is bright,The wind whispered through the trees,The book has 200 pages
English Language,Grade 7,Literature and Poetry,What is the rhyme scheme of a poem with the pattern ABAB?,multiple_choice,a,ABAB means the first and third lines rhyme with each other and the second and fourth lines rhyme with each other.,easy,10,45,First and third lines rhyme; second and fourth lines rhyme,All lines rhyme with each other,No lines rhyme,Only the first two lines rhyme
English Language,Grade 7,Literature and Poetry,In poetry what does alliteration mean?,multiple_choice,b,Alliteration is the repetition of the same consonant sound at the beginning of words that are close together.,easy,10,45,Words that rhyme at the end,Repetition of consonant sounds at the beginning of words,Using the same word twice,Making words sound like their meaning
English Language,Grade 7,Literature and Poetry,What is the difference between a simile and a metaphor?,multiple_choice,a,A simile uses 'like' or 'as' to make comparisons while a metaphor makes direct comparisons without using these words.,medium,10,60,Similes use 'like' or 'as'; metaphors make direct comparisons,They are exactly the same thing,Metaphors use 'like' or 'as'; similes make direct comparisons,Similes are longer than metaphors
English Language,Grade 7,Grammar and Usage,Which sentence uses the correct past tense?,multiple_choice,c,The correct past tense of 'go' is 'went' not 'goed'. 'Yesterday I went to school' is grammatically correct.,easy,10,45,Yesterday I goed to school,Yesterday I go to school,Yesterday I went to school,Yesterday I going to school
English Language,Grade 7,Grammar and Usage,What type of word is 'quickly' in the sentence 'She ran quickly'?,multiple_choice,b,Quickly is an adverb because it describes how the action (ran) was performed. Adverbs often end in -ly.,easy,10,45,Noun,Adverb,Adjective,Verb
English Language,Grade 7,Grammar and Usage,Which sentence shows correct subject-verb agreement?,multiple_choice,a,With singular subjects like 'cat' we use 'is' and with plural subjects like 'cats' we use 'are'.,medium,10,45,The cat is sleeping,The cat are sleeping,The cats is sleeping,The cat am sleeping
English Language,Grade 7,Grammar and Usage,What is the plural form of 'child'?,multiple_choice,c,Child is an irregular noun. Its plural form is 'children' not 'childs'.,easy,10,30,Childs,Childes,Children,Childrens
English Language,Grade 7,Grammar and Usage,Which word is a preposition in this sentence: 'The book is on the table'?,multiple_choice,b,On is a preposition that shows the relationship between 'book' and 'table' indicating position.,easy,10,45,Book,On,Table,The
English Language,Grade 7,Comprehension Skills,What is the main idea of a paragraph?,multiple_choice,a,The main idea is the central point or most important message that the author wants to communicate in a paragraph.,easy,10,45,The most important point the author is making,The first sentence of the paragraph,The longest sentence in the paragraph,The last sentence of the paragraph
English Language,Grade 7,Comprehension Skills,When reading a story what helps you understand the setting?,multiple_choice,c,The setting is described through details about time and place which help readers visualize where and when the story happens.,medium,10,45,The characters' names,The story's title,Descriptions of time and place,The number of pages
English Language,Grade 7,Comprehension Skills,What is a context clue?,multiple_choice,b,Context clues are hints in the surrounding text that help readers figure out the meaning of unfamiliar words.,medium,10,45,A word that rhymes,Hints that help you understand unfamiliar words,The title of the story,A type of punctuation
English Language,Grade 7,Comprehension Skills,Which reading strategy helps you predict what will happen next in a story?,multiple_choice,a,Using prior knowledge and story clues helps readers make logical predictions about future events in the story.,medium,10,60,Using clues from the story and your own knowledge,Reading very slowly,Skipping difficult words,Reading the ending first
English Language,Grade 7,Comprehension Skills,What is the purpose of a conclusion in a text?,multiple_choice,d,A conclusion summarizes the main points and brings the text to a logical end helping readers understand the overall message.,medium,10,45,To introduce new characters,To make the text longer,To confuse the reader,To summarize main points and end the text
English Language,Grade 7,Writing Skills,What should every paragraph have?,multiple_choice,a,Every paragraph should have a topic sentence that introduces the main idea followed by supporting details.,easy,10,45,A topic sentence and supporting details,Only one sentence,At least ten sentences,No punctuation
English Language,Grade 7,Writing Skills,Which is the correct way to start a formal letter?,multiple_choice,b,Formal letters should begin with 'Dear' followed by the person's title and name showing respect and professionalism.,easy,10,45,Hey friend,Dear Mr. Smith,What's up,Hi there
English Language,Grade 7,Writing Skills,What is the purpose of editing your writing?,multiple_choice,c,Editing helps improve your writing by correcting errors in grammar spelling and punctuation making your message clearer.,medium,10,45,To make it longer,To change the topic,To correct errors and improve clarity,To add more characters
English Language,Grade 7,Writing Skills,Which sentence shows good use of descriptive language?,multiple_choice,a,Descriptive language uses specific details and sensory words to help readers visualize and experience what is being described.,medium,10,60,The bright red rose smelled sweet and felt soft,The rose was nice,There was a flower,The plant grew
English Language,Grade 7,Writing Skills,What is a thesis statement?,multiple_choice,b,A thesis statement is the main argument or central idea of an essay usually found in the introduction paragraph.,hard,10,60,The first word of an essay,The main argument of an essay,The last sentence of an essay,A type of question
English Language,Grade 7,Oral Communication,What is important when giving a speech?,multiple_choice,a,Clear pronunciation and appropriate volume ensure that the audience can understand and hear the speaker's message effectively.,easy,10,45,Speaking clearly and loudly enough,Speaking as fast as possible,Never looking at the audience,Reading directly from notes only
English Language,Grade 7,Oral Communication,What does body language include?,multiple_choice,c,Body language encompasses all non-verbal communication including gestures facial expressions and posture which convey meaning.,medium,10,45,Only hand movements,Only facial expressions,Gestures facial expressions and posture,Only eye contact
English Language,Grade 7,Oral Communication,When participating in a group discussion you should:,multiple_choice,b,Effective group participation requires listening to others and contributing relevant ideas that build on the discussion.,medium,10,45,Talk the most,Listen to others and contribute relevant ideas,Interrupt others frequently,Stay completely silent
English Language,Grade 7,Oral Communication,What is active listening?,multiple_choice,a,Active listening involves paying full attention to the speaker asking questions and providing feedback to show understanding.,medium,10,60,Paying attention and responding appropriately,Thinking about other things while someone talks,Only hearing the words,Preparing your response while others speak
English Language,Grade 7,Oral Communication,Which is an example of formal speech?,multiple_choice,d,Formal speech uses proper grammar complete sentences and respectful language appropriate for official or academic settings.,easy,10,45,Talking to friends at lunch,Chatting with family,Texting a friend,Presenting to the class
English Language,Grade 7,Vocabulary Development,What is a synonym?,multiple_choice,a,Synonyms are words that have the same or very similar meanings and can often be used interchangeably in sentences.,easy,10,30,Words with similar meanings,Words with opposite meanings,Words that sound the same,Words that rhyme
English Language,Grade 7,Vocabulary Development,Which word is an antonym of 'happy'?,multiple_choice,c,Antonyms are words with opposite meanings. Sad is the opposite of happy.,easy,10,30,Joyful,Cheerful,Sad,Excited
English Language,Grade 7,Vocabulary Development,What does the prefix 'un-' mean?,multiple_choice,b,The prefix 'un-' means 'not' or 'opposite of' as in unhappy (not happy) or unfair (not fair).,easy,10,45,Very,Not or opposite of,Before,After
English Language,Grade 7,Vocabulary Development,What does the suffix '-ful' mean?,multiple_choice,a,The suffix '-ful' means 'full of' as in helpful (full of help) or beautiful (full of beauty).,easy,10,45,Full of,Without,Past tense,Plural
English Language,Grade 7,Vocabulary Development,Which word has the same root as 'telephone'?,multiple_choice,c,Both telephone and telegraph share the Greek root 'tele-' meaning 'far' or 'distant'.,medium,10,60,Television,Computer,Telegraph,Radio
English Language,Grade 7,Reading Comprehension,What is the theme of a story?,multiple_choice,b,The theme is the underlying message or lesson that the author wants to convey through the story.,medium,10,45,The main character,The message or lesson of the story,Where the story takes place,When the story happens
English Language,Grade 7,Reading Comprehension,What is characterization?,multiple_choice,a,Characterization is how an author reveals and develops the personality traits and qualities of characters in a story.,medium,10,60,How authors develop characters' personalities,The number of characters in a story,The names of the characters,Where characters live
