subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Mathematics,Grade 7,Number Operations,What is 15 + 28?,multiple_choice,c,Add the ones place: 5 + 8 = 13 (write 3 carry 1). Add the tens place: 1 + 2 + 1 = 4. Answer is 43.,easy,10,45,41,42,43,44
Mathematics,Grade 7,Number Operations,What is 84 - 37?,multiple_choice,b,Since 4 < 7 we need to borrow: 14 - 7 = 7 and 7 - 3 = 4. Answer is 47.,easy,10,45,46,47,48,49
Mathematics,Grade 7,Number Operations,What is 12 × 8?,multiple_choice,c,12 × 8 = (10 × 8) + (2 × 8) = 80 + 16 = 96.,easy,10,45,94,95,96,97
Mathematics,Grade 7,Number Operations,What is 144 ÷ 12?,multiple_choice,a,144 ÷ 12 = 12 because 12 × 12 = 144.,easy,10,45,12,13,14,15
Mathematics,Grade 7,Number Operations,Which number is a prime number?,multiple_choice,b,17 is prime because it can only be divided by 1 and itself without remainder.,medium,10,60,15,17,18,20
Mathematics,Grade 7,Fractions and Decimals,What is 1/2 + 1/4?,multiple_choice,c,Find common denominator: 1/2 = 2/4. Then 2/4 + 1/4 = 3/4.,medium,10,60,1/6,2/6,3/4,5/6
Mathematics,Grade 7,Fractions and Decimals,What is 3/4 - 1/3?,multiple_choice,b,Common denominator is 12: 9/12 - 4/12 = 5/12.,medium,10,75,4/12,5/12,6/12,7/12
Mathematics,Grade 7,Fractions and Decimals,What is 0.25 as a fraction?,multiple_choice,a,0.25 = 25/100 = 1/4 when simplified.,easy,10,45,1/4,1/3,1/2,2/3
Mathematics,Grade 7,Fractions and Decimals,What is 3/5 as a decimal?,multiple_choice,c,3 ÷ 5 = 0.6.,easy,10,45,0.5,0.55,0.6,0.65
Mathematics,Grade 7,Fractions and Decimals,Which fraction is equivalent to 2/3?,multiple_choice,b,2/3 = 4/6 = 6/9 = 8/12. All have the same value when simplified.,medium,10,60,3/4,4/6,5/7,6/8
Mathematics,Grade 7,Percentages,What is 25% of 80?,multiple_choice,a,25% = 1/4 so 25% of 80 = 80 ÷ 4 = 20.,easy,10,45,20,25,30,35
Mathematics,Grade 7,Percentages,What percentage is 15 out of 60?,multiple_choice,b,15/60 = 1/4 = 25%.,medium,10,60,20%,25%,30%,35%
Mathematics,Grade 7,Percentages,If a shirt costs GH₵40 and is reduced by 20% what is the new price?,multiple_choice,c,20% of 40 = 8. New price = 40 - 8 = GH₵32.,medium,10,75,GH₵30,GH₵31,GH₵32,GH₵33
Mathematics,Grade 7,Percentages,What is 0.75 as a percentage?,multiple_choice,c,0.75 = 75/100 = 75%.,easy,10,45,70%,73%,75%,80%
Mathematics,Grade 7,Percentages,If 60% of students passed an exam and 24 students passed how many students took the exam?,multiple_choice,b,If 24 = 60% then total = 24 ÷ 0.6 = 40 students.,hard,10,90,35,40,45,50
Mathematics,Grade 7,Algebra Basics,What is the value of x in: x + 5 = 12?,multiple_choice,c,Subtract 5 from both sides: x = 12 - 5 = 7.,easy,10,45,5,6,7,8
Mathematics,Grade 7,Algebra Basics,What is the value of y in: 3y = 21?,multiple_choice,b,Divide both sides by 3: y = 21 ÷ 3 = 7.,easy,10,45,6,7,8,9
Mathematics,Grade 7,Algebra Basics,Simplify: 2x + 3x,multiple_choice,a,Combine like terms: 2x + 3x = 5x.,easy,10,45,5x,6x,2x + 3x,x
Mathematics,Grade 7,Algebra Basics,What is the value of a in: 2a - 4 = 10?,multiple_choice,c,Add 4 to both sides: 2a = 14. Divide by 2: a = 7.,medium,10,60,5,6,7,8
Mathematics,Grade 7,Algebra Basics,If x = 3 what is the value of 2x + 1?,multiple_choice,b,Substitute x = 3: 2(3) + 1 = 6 + 1 = 7.,easy,10,45,6,7,8,9
Mathematics,Grade 7,Geometry,How many sides does a hexagon have?,multiple_choice,c,A hexagon has 6 sides by definition.,easy,10,30,4,5,6,7
Mathematics,Grade 7,Geometry,What is the sum of angles in a triangle?,multiple_choice,b,The sum of angles in any triangle is always 180°.,easy,10,45,90°,180°,270°,360°
Mathematics,Grade 7,Geometry,What is the area of a rectangle with length 8 cm and width 5 cm?,multiple_choice,c,Area = length × width = 8 × 5 = 40 cm².,easy,10,45,35 cm²,38 cm²,40 cm²,45 cm²
Mathematics,Grade 7,Geometry,What is the perimeter of a square with side length 6 cm?,multiple_choice,a,Perimeter = 4 × side length = 4 × 6 = 24 cm.,easy,10,45,24 cm,26 cm,28 cm,30 cm
Mathematics,Grade 7,Geometry,What type of angle is 90°?,multiple_choice,b,A 90° angle is called a right angle.,easy,10,30,Acute,Right,Obtuse,Straight
Mathematics,Grade 7,Ratio and Proportion,What is the ratio 12:8 in its simplest form?,multiple_choice,c,Divide both numbers by their GCD (4): 12÷4 : 8÷4 = 3:2.,medium,10,60,4:3,2:3,3:2,6:4
Mathematics,Grade 7,Ratio and Proportion,If the ratio of boys to girls is 3:2 and there are 15 boys how many girls are there?,multiple_choice,b,If 3 parts = 15 boys then 1 part = 5. Girls = 2 parts = 10.,medium,10,75,8,10,12,15
Mathematics,Grade 7,Ratio and Proportion,In a recipe 2 cups of flour are needed for 3 cups of sugar. How much flour is needed for 9 cups of sugar?,multiple_choice,c,Set up proportion: 2/3 = x/9. Cross multiply: 3x = 18 so x = 6.,medium,10,90,4,5,6,7
Mathematics,Grade 7,Ratio and Proportion,What is the ratio of 25 minutes to 1 hour?,multiple_choice,a,1 hour = 60 minutes. Ratio = 25:60 = 5:12.,medium,10,75,5:12,1:3,25:1,1:25
Mathematics,Grade 7,Ratio and Proportion,If 4 pencils cost GH₵6 how much do 10 pencils cost?,multiple_choice,c,Cost per pencil = 6÷4 = 1.5. Cost of 10 = 10 × 1.5 = GH₵15.,medium,10,75,GH₵12,GH₵14,GH₵15,GH₵16
Mathematics,Grade 7,Statistics and Data,What is the mean of: 4 6 8 10 12?,multiple_choice,c,Mean = (4+6+8+10+12) ÷ 5 = 40 ÷ 5 = 8.,medium,10,60,6,7,8,9
Mathematics,Grade 7,Statistics and Data,What is the median of: 3 7 9 12 15?,multiple_choice,c,The median is the middle value when arranged in order: 9.,easy,10,45,7,8,9,10
Mathematics,Grade 7,Statistics and Data,What is the mode of: 2 3 3 4 5 3 6?,multiple_choice,b,The mode is the most frequently occurring value: 3 appears three times.,easy,10,45,2,3,4,5
Mathematics,Grade 7,Statistics and Data,What is the range of: 5 8 12 15 20?,multiple_choice,d,Range = highest value - lowest value = 20 - 5 = 15.,easy,10,45,12,13,14,15
Mathematics,Grade 7,Statistics and Data,In a bar graph what does the height of each bar represent?,multiple_choice,a,The height of each bar represents the frequency or value of that category.,easy,10,45,The frequency or value,The width,The color,The position
Mathematics,Grade 7,Measurement,How many centimeters are in 2.5 meters?,multiple_choice,c,1 meter = 100 cm so 2.5 meters = 2.5 × 100 = 250 cm.,easy,10,45,200 cm,225 cm,250 cm,275 cm
Mathematics,Grade 7,Measurement,What is the area of a circle with radius 3 cm? (Use π = 3.14),multiple_choice,b,Area = πr² = 3.14 × 3² = 3.14 × 9 = 28.26 cm².,medium,10,75,25.12 cm²,28.26 cm²,31.4 cm²,34.54 cm²
Mathematics,Grade 7,Measurement,How many milliliters are in 1.5 liters?,multiple_choice,c,1 liter = 1000 ml so 1.5 liters = 1.5 × 1000 = 1500 ml.,easy,10,45,1200 ml,1400 ml,1500 ml,1600 ml
Mathematics,Grade 7,Measurement,What is the volume of a cube with side length 4 cm?,multiple_choice,b,Volume = side³ = 4³ = 64 cm³.,medium,10,60,60 cm³,64 cm³,68 cm³,72 cm³
Mathematics,Grade 7,Measurement,How many grams are in 2.3 kilograms?,multiple_choice,d,1 kg = 1000 g so 2.3 kg = 2.3 × 1000 = 2300 g.,easy,10,45,2000 g,2200 g,2250 g,2300 g
Mathematics,Grade 7,Problem Solving,A bus travels 240 km in 4 hours. What is its average speed?,multiple_choice,c,Speed = distance ÷ time = 240 ÷ 4 = 60 km/h.,medium,10,60,50 km/h,55 km/h,60 km/h,65 km/h
