subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Religious and Moral Education,Grade 7,Christianity,Who is considered the founder of Christianity?,multiple_choice,b,Jesus Christ is considered the founder of Christianity and Christians believe he is the Son of God.,easy,10,45,Moses,Jesus Christ,Paul,Peter
Religious and Moral Education,Grade 7,Christianity,What is the holy book of Christianity?,multiple_choice,a,The Bible is the holy book of Christianity containing the Old and New Testaments.,easy,10,30,Bible,Quran,Torah,Vedas
Religious and Moral Education,Grade 7,Christianity,How many books are in the New Testament?,multiple_choice,c,The New Testament contains 27 books including the four Gospels and letters from apostles.,medium,10,60,24,25,27,30
Religious and Moral Education,Grade 7,Christianity,What are the four Gospels?,multiple_choice,b,The four Gospels are Matthew Mark Luke and John which tell the story of Jesus' life.,medium,10,75,Mark Luke John Acts,Matthew Mark Luke John,Genesis Exodus Leviticus Numbers,Romans Corinthians Galatians Ephesians
Religious and Moral Education,Grade 7,Christianity,What is the Golden Rule in Christianity?,multiple_choice,a,The Golden Rule is 'Do unto others as you would have them do unto you' teaching love and kindness.,medium,10,90,Do unto others as you would have them do unto you,Love your enemies,Turn the other cheek,Forgive seventy times seven
Religious and Moral Education,Grade 7,Islam,Who is the founder of Islam?,multiple_choice,c,Prophet Muhammad (peace be upon him) is the founder and final messenger of Islam.,easy,10,45,Abraham,Moses,Muhammad,Jesus
Religious and Moral Education,Grade 7,Islam,What is the holy book of Islam?,multiple_choice,b,The Quran is the holy book of Islam believed to be the direct word of Allah revealed to Prophet Muhammad.,easy,10,30,Bible,Quran,Torah,Hadith
Religious and Moral Education,Grade 7,Islam,How many pillars of Islam are there?,multiple_choice,a,There are five pillars of Islam: Shahada Salah Zakat Sawm and Hajj.,medium,10,60,Five,Four,Six,Seven
Religious and Moral Education,Grade 7,Islam,What is the first pillar of Islam?,multiple_choice,c,Shahada is the first pillar - the declaration of faith that there is no god but Allah and Muhammad is his messenger.,medium,10,75,Prayer,Charity,Declaration of faith (Shahada),Pilgrimage
Religious and Moral Education,Grade 7,Islam,What is Ramadan?,multiple_choice,b,Ramadan is the holy month of fasting when Muslims fast from dawn to sunset.,medium,10,60,A prayer,The holy month of fasting,A pilgrimage,A charity
Religious and Moral Education,Grade 7,Traditional African Religion,What is the Supreme Being called in Akan traditional religion?,multiple_choice,a,In Akan traditional religion the Supreme Being is called Onyame or Onyankopon.,medium,10,60,Onyame/Onyankopon,Allah,Jehovah,Brahma
Religious and Moral Education,Grade 7,Traditional African Religion,What role do ancestors play in traditional African religion?,multiple_choice,c,Ancestors are believed to be intermediaries between the living and the Supreme Being providing guidance and protection.,medium,10,90,They are forgotten,They become gods,They are intermediaries between living and Supreme Being,They cause problems
Religious and Moral Education,Grade 7,Traditional African Religion,What are libations in traditional African religion?,multiple_choice,b,Libations are ritual offerings of drinks (usually water or alcohol) poured to honor ancestors and spirits.,medium,10,90,Food offerings,Ritual drink offerings to ancestors and spirits,Dance ceremonies,Singing rituals
Religious and Moral Education,Grade 7,Traditional African Religion,What is the role of traditional priests?,multiple_choice,a,Traditional priests serve as intermediaries between people and spirits conducting rituals and providing spiritual guidance.,medium,10,120,Serve as intermediaries between people and spirits,Only perform marriages,Only heal diseases,Only predict the future
