subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,What color does litmus paper turn in an acid?,multiple_choice,b,Red litmus paper stays red in acid and blue litmus paper turns red in acid.,medium,10,60,Blue,Red,Green,Yellow,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,Which of these is a common acid?,multiple_choice,c,Lemon juice contains citric acid making it acidic with a pH less than 7.,easy,10,45,Soap,Baking soda,Lemon juice,Milk,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,What is the pH of pure water?,multiple_choice,b,Pure water has a pH of 7 which is neutral (neither acidic nor basic).,medium,10,60,0,7,14,10,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,Which substance is basic (alkaline)?,multiple_choice,a,Soap is basic with a pH greater than 7 which is why it feels slippery.,medium,10,60,Soap,Vinegar,Orange juice,Coffee,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,What happens when an acid and base are mixed?,multiple_choice,d,When acids and bases react they neutralize each other forming salt and water.,medium,10,75,They explode,Nothing happens,They become more acidic,They neutralize each other,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which pH value indicates a neutral substance?,multiple_choice,c,"A pH of 7 is neutral, like pure water.",easy,10,30,1,5,7,10,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Acids generally have a __________ taste.,multiple_choice,b,"Acids are typically sour-tasting (e.g., lemon juice, vinegar).",easy,10,30,Bitter,Sour,Sweet,Salty,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What type of substance feels slippery to the touch?,multiple_choice,a,"Bases (or alkalis) often feel slippery or soapy (e.g., soap, detergents).",easy,10,30,Base,Acid,Neutral,Salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Litmus paper turns red in the presence of a(n):,multiple_choice,b,Red litmus indicates an acid.,easy,10,30,Base,Acid,Neutral substance,Salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance with a pH of 12 is considered:,multiple_choice,d,pH values above 7 are basic (alkaline); 12 is strongly basic.,easy,10,30,Strong acid,Weak acid,Neutral,Strong base,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which of these is a common example of an acid?,multiple_choice,c,Vinegar contains acetic acid.,easy,10,30,Soap,Bleach,Vinegar,Baking soda,,,,,,,,,,,,,,,,,,
