subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Social Studies,Grade 7,Geography of Ghana,What is the capital city of Ghana?,multiple_choice,b,Accra is the capital and largest city of Ghana located on the Atlantic coast.,easy,10,30,Kumasi,Accra,Tamale,Cape Coast
Social Studies,Grade 7,Geography of Ghana,Which ocean borders Ghana to the south?,multiple_choice,c,Ghana is bordered by the Atlantic Ocean to the south providing access to international trade.,easy,10,30,Indian Ocean,Pacific Ocean,Atlantic Ocean,Arctic Ocean
Social Studies,Grade 7,Geography of Ghana,What are the main vegetation zones in Ghana?,multiple_choice,a,Ghana has three main vegetation zones: forest savanna and coastal grassland each with distinct characteristics.,medium,10,75,Forest savanna and coastal grassland,Only forest,Only savanna,Desert and mountains
Social Studies,Grade 7,Geography of Ghana,Which river is the longest in Ghana?,multiple_choice,b,The Volta River is Ghana's longest river and is crucial for hydroelectric power generation.,medium,10,60,Ankobra River,Volta River,Pra River,Tano River
Social Studies,Grade 7,Geography of Ghana,What is the climate like in most of Ghana?,multiple_choice,c,Ghana has a tropical climate with wet and dry seasons characterized by high temperatures and humidity.,easy,10,45,Cold and dry,Temperate,Tropical with wet and dry seasons,Desert climate
Social Studies,Grade 7,History of Ghana,Who was the first President of Ghana?,multiple_choice,a,Dr. Kwame Nkrumah was Ghana's first President and led the country to independence from Britain in 1957.,medium,10,60,Dr. Kwame Nkrumah,Dr. J.B. Danquah,Dr. Kofi Busia,Jerry John Rawlings
Social Studies,Grade 7,History of Ghana,When did Ghana gain independence?,multiple_choice,c,Ghana gained independence from British colonial rule on March 6 1957 becoming the first African country to do so.,medium,10,60,1956,1958,1957,1960
Social Studies,Grade 7,History of Ghana,What was Ghana called before independence?,multiple_choice,b,Before independence Ghana was called the Gold Coast due to its abundant gold resources.,easy,10,45,British Ghana,Gold Coast,West Africa Colony,Atlantic Colony
Social Studies,Grade 7,History of Ghana,Which ancient kingdom existed in the area now called Ghana?,multiple_choice,a,The ancient Ghana Empire existed in the region though not exactly in present-day Ghana's location.,medium,10,75,Ancient Ghana Empire,Mali Empire,Songhai Empire,Benin Empire
Social Studies,Grade 7,History of Ghana,What is Independence Day in Ghana?,multiple_choice,c,March 6th is celebrated as Independence Day in Ghana commemorating freedom from British rule.,easy,10,45,January 1st,December 25th,March 6th,July 4th
Social Studies,Grade 7,Government and Civics,What type of government does Ghana have?,multiple_choice,b,Ghana has a democratic republic with elected leaders and multiple political parties.,medium,10,60,Monarchy,Democratic republic,Military rule,Traditional rule only
Social Studies,Grade 7,Government and Civics,How often are presidential elections held in Ghana?,multiple_choice,d,Presidential elections in Ghana are held every four years as stated in the constitution.,medium,10,60,Every 2 years,Every 3 years,Every 5 years,Every 4 years
Social Studies,Grade 7,Government and Civics,What are the three branches of government in Ghana?,multiple_choice,a,Ghana's government has three branches: executive (President) legislative (Parliament) and judicial (courts).,medium,10,90,Executive legislative and judicial,Only executive,Only legislative,Executive and legislative only
