subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
ICT,Grade 8,Computer Basics,What does ICT stand for?,multiple_choice,b,ICT stands for Information and Communication Technology.,easy,10,45,Internet and Computer Technology,Information and Communication Technology,International Computer Technology,Integrated Communication Technology
ICT,Grade 8,Computer Basics,What is a computer?,multiple_choice,c,A computer is an electronic device that processes data and performs calculations.,easy,10,75,Only a calculator,Only a gaming device,Electronic device that processes data and performs calculations,Only a typing machine
ICT,Grade 8,Computer Basics,What are the main components of a computer system?,multiple_choice,a,The main components are hardware software and users.,medium,10,120,Hardware software and users,Only hardware and software,Only hardware and users,Only software and users
ICT,Grade 8,Computer Basics,What is hardware?,multiple_choice,d,Hardware refers to the physical parts of a computer that you can touch.,easy,10,90,Computer programs,Data stored in computer,Instructions for computer,Physical parts of computer you can touch
ICT,Grade 8,Computer Basics,What is software?,multiple_choice,b,Software consists of programs and instructions that tell the computer what to do.,medium,10,120,Physical parts of computer,Programs and instructions telling computer what to do,Data stored on computer,Users of the computer
ICT,Grade 8,Computer Basics,What is the difference between hardware and software?,multiple_choice,c,Hardware is physical components while software is programs and instructions.,medium,10,150,Hardware is programs software is physical,Both are the same thing,Hardware is physical software is programs and instructions,Hardware is data software is users
ICT,Grade 8,Computer Basics,What is data?,multiple_choice,a,Data is raw facts and figures that can be processed by a computer.,medium,10,90,Raw facts and figures processed by computer,Only numbers,Only text,Only pictures
ICT,Grade 8,Computer Basics,What is information?,multiple_choice,d,Information is processed data that has meaning and is useful.,medium,10,120,Same as data,Only facts,Only numbers,Processed data that has meaning and is useful
ICT,Grade 8,Computer Basics,What is the difference between data and information?,multiple_choice,b,Data is raw facts while information is processed data with meaning.,hard,10,150,Data and information are the same,Data is raw facts information is processed data with meaning,Data is processed information is raw,Data is useful information is not
ICT,Grade 8,Computer Basics,What is processing?,multiple_choice,c,Processing is the manipulation of data to produce useful information.,medium,10,120,Storing data,Displaying data,Manipulating data to produce useful information,Deleting data
ICT,Grade 8,Input Devices,What is an input device?,multiple_choice,a,An input device is used to enter data and instructions into a computer.,medium,10,120,Device used to enter data and instructions into computer,Device that displays information,Device that stores data,Device that prints documents
ICT,Grade 8,Input Devices,Which of the following is an input device?,multiple_choice,b,A keyboard is an input device used to type text and commands.,easy,10,60,Monitor,Keyboard,Printer,Speaker
ICT,Grade 8,Input Devices,What is the function of a mouse?,multiple_choice,c,A mouse is used to point click and select items on the computer screen.,easy,10,90,To type text,To display images,To point click and select items on screen,To print documents
ICT,Grade 8,Input Devices,What is a microphone used for?,multiple_choice,d,A microphone is used to input sound and voice into the computer.,medium,10,90,To display text,To print documents,To store data,To input sound and voice into computer
ICT,Grade 8,Input Devices,What is a scanner?,multiple_choice,a,A scanner is used to convert physical documents and images into digital format.,hard,10,150,Device converting physical documents to digital format,Device that prints documents,Device that displays images,Device that stores data
ICT,Grade 8,Input Devices,What is a webcam?,multiple_choice,b,A webcam is a camera used to capture video and images for computer input.,medium,10,120,Device for printing photos,Camera capturing video and images for computer input,Device for storing photos,Device for displaying photos
ICT,Grade 8,Input Devices,What is a joystick used for?,multiple_choice,c,A joystick is primarily used for playing games and controlling movement.,medium,10,90,For typing text,For printing documents,For playing games and controlling movement,For storing data
ICT,Grade 8,Input Devices,What is a touchscreen?,multiple_choice,d,A touchscreen is both an input and output device that responds to touch.,hard,10,150,Only an input device,Only an output device,Device that only displays,Both input and output device responding to touch
