subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Science,Grade 8,Cell Biology,What is the basic unit of life?,multiple_choice,b,The cell is the basic unit of life and all living things are made of one or more cells.,easy,10,45,Tissue,Cell,Organ,Organism
Science,Grade 8,Cell Biology,What is the difference between prokaryotic and eukaryotic cells?,multiple_choice,c,Prokaryotic cells lack a nucleus while eukaryotic cells have a nucleus enclosed by a membrane.,medium,10,120,Prokaryotic cells are larger,Eukaryotic cells lack organelles,Prokaryotic lack nucleus eukaryotic have nucleus,They are the same
Science,Grade 8,Cell Biology,What is the function of the cell membrane?,multiple_choice,a,The cell membrane controls what enters and leaves the cell acting as a selective barrier.,medium,10,90,Controls what enters and leaves cell,Produces energy,Stores genetic material,Makes proteins
Science,Grade 8,Cell Biology,What is the function of the nucleus?,multiple_choice,d,The nucleus controls cell activities and contains the cell's DNA (genetic material).,medium,10,90,Produces energy,Makes proteins,Controls cell movement,Controls cell activities and contains DNA
Science,Grade 8,Cell Biology,What is the function of mitochondria?,multiple_choice,b,Mitochondria are the powerhouses of the cell where cellular respiration produces energy (ATP).,medium,10,120,Store water,Produce energy through cellular respiration,Control cell activities,Make proteins
Science,Grade 8,Cell Biology,What is the function of chloroplasts?,multiple_choice,c,Chloroplasts conduct photosynthesis converting sunlight into chemical energy in plant cells.,medium,10,120,Store water,Produce energy,Conduct photosynthesis in plant cells,Control cell activities
Science,Grade 8,Cell Biology,What is the cell wall?,multiple_choice,a,The cell wall is a rigid structure outside the cell membrane that provides support in plant cells.,medium,10,120,Rigid structure providing support in plant cells,Flexible membrane,Control center,Energy producer
Science,Grade 8,Cell Biology,What is cytoplasm?,multiple_choice,d,Cytoplasm is the gel-like substance that fills the cell and holds organelles in place.,easy,10,75,Cell boundary,Control center,Energy producer,Gel-like substance filling cell and holding organelles
Science,Grade 8,Cell Biology,What are ribosomes?,multiple_choice,b,Ribosomes are small structures that make proteins in the cell.,medium,10,90,Store genetic material,Make proteins,Produce energy,Control cell activities
Science,Grade 8,Cell Biology,What is the difference between plant and animal cells?,multiple_choice,c,Plant cells have cell walls chloroplasts and large vacuoles while animal cells do not.,hard,10,150,Animal cells are larger,Plant cells have no nucleus,Plant cells have cell walls chloroplasts large vacuoles,They are identical
Science,Grade 8,Cell Biology,What is cell division?,multiple_choice,a,Cell division is the process by which one cell divides to form two or more cells.,medium,10,90,Process of one cell dividing to form two or more,Cell death,Cell growth only,Cell movement
Science,Grade 8,Cell Biology,What is mitosis?,multiple_choice,d,Mitosis is cell division that produces two identical diploid cells for growth and repair.,hard,10,150,Cell death,Energy production,Protein synthesis,Cell division producing two identical diploid cells
Science,Grade 8,Cell Biology,What is the cell cycle?,multiple_choice,b,The cell cycle is the series of events that cells go through as they grow and divide.,hard,10,120,Single cell division,Series of events as cells grow and divide,Cell death process,Energy production cycle
Science,Grade 8,Cell Biology,What is differentiation?,multiple_choice,c,Differentiation is the process by which cells become specialized for specific functions.,hard,10,150,Cell division,Cell death,Process of cells becoming specialized for functions,Cell movement
Science,Grade 8,Cell Biology,What is a tissue?,multiple_choice,a,A tissue is a group of similar cells that work together to perform a specific function.,medium,10,90,Group of similar cells performing specific function,Single cell,Group of organs,Whole organism
Science,Grade 8,Human Body Systems,What is the circulatory system?,multiple_choice,b,The circulatory system transports blood nutrients oxygen and waste throughout the body.,easy,10,90,System that circulates air,System transporting blood nutrients oxygen waste,System that moves muscles,System that processes food
Science,Grade 8,Human Body Systems,What is the main function of the heart?,multiple_choice,c,The heart pumps blood throughout the body to deliver oxygen and nutrients.,easy,10,75,Produces blood,Stores blood,Pumps blood throughout body,Cleans blood
Science,Grade 8,Human Body Systems,What are the main components of blood?,multiple_choice,a,Blood consists of red blood cells white blood cells platelets and plasma.,medium,10,120,Red cells white cells platelets plasma,Only red blood cells,Only white blood cells,Only plasma
Science,Grade 8,Human Body Systems,What is the function of red blood cells?,multiple_choice,d,Red blood cells carry oxygen from the lungs to body tissues using hemoglobin.,medium,10,90,Fight infections,Help blood clot,Carry nutrients,Carry oxygen using hemoglobin
Science,Grade 8,Human Body Systems,What is the function of white blood cells?,multiple_choice,b,White blood cells fight infections and protect the body from disease.,medium,10,90,Carry oxygen,Fight infections and protect from disease,Help blood clot,Carry nutrients
Science,Grade 8,Human Body Systems,What is the respiratory system?,multiple_choice,c,The respiratory system brings oxygen into the body and removes carbon dioxide.,easy,10,90,System that responds to stimuli,System that repairs tissues,System bringing oxygen in and removing carbon dioxide,System that moves the body
Science,Grade 8,Human Body Systems,What is the main function of the lungs?,multiple_choice,a,The lungs exchange oxygen and carbon dioxide between air and blood.,medium,10,90,Exchange oxygen and carbon dioxide,Pump blood,Digest food,Filter waste
Science,Grade 8,Human Body Systems,What is the diaphragm?,multiple_choice,d,The diaphragm is a muscle that helps with breathing by contracting and relaxing.,medium,10,120,Bone in chest,Blood vessel,Part of heart,Muscle helping with breathing
Science,Grade 8,Human Body Systems,What is the digestive system?,multiple_choice,b,The digestive system breaks down food and absorbs nutrients for the body.,easy,10,90,System that digests information,System breaking down food and absorbing nutrients,System that moves food,System that stores food
Science,Grade 8,Human Body Systems,What is the function of the stomach?,multiple_choice,c,The stomach stores food and begins protein digestion using acid and enzymes.,medium,10,120,Only stores food,Only produces acid,Stores food and begins protein digestion,Only absorbs nutrients
Science,Grade 8,Human Body Systems,What is the function of the small intestine?,multiple_choice,a,The small intestine completes digestion and absorbs most nutrients into the bloodstream.,medium,10,120,Completes digestion and absorbs nutrients,Only stores food,Only produces enzymes,Only eliminates waste
Science,Grade 8,Human Body Systems,What is the nervous system?,multiple_choice,d,The nervous system controls body functions and responds to internal and external stimuli.,medium,10,120,System of nerves only,System that makes you nervous,System that moves muscles,System controlling functions and responding to stimuli
Science,Grade 8,Human Body Systems,What is the function of the brain?,multiple_choice,b,The brain controls thinking memory emotions and coordinates body functions.,medium,10,120,Only controls movement,Controls thinking memory emotions coordinates functions,Only processes sight,Only controls breathing
Science,Grade 8,Human Body Systems,What is the spinal cord?,multiple_choice,c,The spinal cord carries messages between the brain and the rest of the body.,medium,10,120,Part of the brain,Backbone,Carries messages between brain and body,Type of nerve
Science,Grade 8,Human Body Systems,What is the skeletal system?,multiple_choice,a,The skeletal system provides structure support and protection for the body.,easy,10,90,Provides structure support protection,Only makes blood,Only stores minerals,Only enables movement
Science,Grade 8,Human Body Systems,What is the function of bones?,multiple_choice,d,Bones provide support protect organs store minerals and produce blood cells.,hard,10,150,Only provide support,Only protect organs,Only store minerals,Provide support protect organs store minerals produce blood
Science,Grade 8,Human Body Systems,What is the muscular system?,multiple_choice,b,The muscular system enables movement and maintains posture.,easy,10,75,System of muscles only,System enabling movement and maintaining posture,System that makes you strong,System that only moves arms
Science,Grade 8,Human Body Systems,What are the three types of muscles?,multiple_choice,c,The three types are skeletal cardiac and smooth muscles.,medium,10,120,Big medium small,Strong weak average,Skeletal cardiac smooth,Fast slow medium
Science,Grade 8,Human Body Systems,What is the excretory system?,multiple_choice,a,The excretory system removes waste products from the body.,easy,10,75,Removes waste products from body,Only produces urine,Only filters blood,Only controls water
Science,Grade 8,Human Body Systems,What is the function of the kidneys?,multiple_choice,d,The kidneys filter waste from blood and regulate water balance in the body.,medium,10,120,Only produce urine,Only filter blood,Only regulate water,Filter waste and regulate water balance
Science,Grade 8,Chemical Reactions,What is a chemical reaction?,multiple_choice,b,A chemical reaction is a process where substances change into new substances with different properties.,medium,10,120,Physical change only,Process where substances change into new substances,Mixing of substances,Heating of substances
Science,Grade 8,Chemical Reactions,What are reactants?,multiple_choice,c,Reactants are the starting substances that undergo change in a chemical reaction.,medium,10,90,End products,Catalysts,Starting substances that undergo change,Observers of reaction
Science,Grade 8,Chemical Reactions,What are products?,multiple_choice,a,Products are the new substances formed as a result of a chemical reaction.,medium,10,90,New substances formed from reaction,Starting substances,Substances that don't change,Catalysts in reaction
Science,Grade 8,Chemical Reactions,What is the law of conservation of mass?,multiple_choice,d,The law states that mass is neither created nor destroyed in a chemical reaction.,hard,10,150,Mass increases in reactions,Mass decreases in reactions,Mass changes randomly,Mass is neither created nor destroyed
Science,Grade 8,Chemical Reactions,What are the signs of a chemical reaction?,multiple_choice,b,Signs include color change gas production heat/light production and precipitate formation.,hard,10,150,Only color change,Color change gas production heat/light precipitate,Only temperature change,Only gas production
Science,Grade 8,Chemical Reactions,What is combustion?,multiple_choice,c,Combustion is a chemical reaction where a substance combines with oxygen producing heat and light.,medium,10,120,Burning without oxygen,Melting of substances,Reaction with oxygen producing heat and light,Freezing of substances
Science,Grade 8,Chemical Reactions,What is needed for combustion to occur?,multiple_choice,a,Combustion requires fuel oxygen and heat (ignition temperature) - the fire triangle.,medium,10,120,Fuel oxygen heat,Only fuel,Only oxygen,Only heat
Science,Grade 8,Chemical Reactions,What is oxidation?,multiple_choice,d,Oxidation is a chemical reaction where a substance combines with oxygen or loses electrons.,hard,10,150,Gaining electrons only,Losing oxygen,Gaining oxygen only,Combining with oxygen or losing electrons
Science,Grade 8,Chemical Reactions,What is rusting?,multiple_choice,b,Rusting is the oxidation of iron when it reacts with oxygen and water.,medium,10,120,Melting of iron,Oxidation of iron with oxygen and water,Heating of iron,Cooling of iron
Science,Grade 8,Chemical Reactions,What is a catalyst?,multiple_choice,c,A catalyst is a substance that speeds up a chemical reaction without being consumed.,hard,10,150,Substance that slows reactions,Substance consumed in reactions,Substance speeding up reactions without being consumed,Product of reactions
